ItemID,ItemName,ItemDescription,Profession,ItemAtlas,ItemIcon,IconTransform,ItemAtlas1,ItemIcon1,ItemType,ItemQuality,ReqLevel,SellPrize,SortID,DoodadFx,Access,ShowTips,CanTrade,AuctionType,AuctionGroup,OverCnt,AuctionRange,AuctionUpperLimit,AuctPriceRecommend,AuctionRecentPrice,Overlap,NumberName,TimeLimit,Decompose,DecomposeGold,ItemEffect,ReqRoll,IsNeedShowTipsPanel,IsCanRecycle,Sell,BagType
道具ID(1-32虚拟道具，不在包裹),道具名称,道具描述,职业,Atlas路径,图标(UI/Item/Item),图标变换，位移|旋转|缩放，必须有9个值,Atlas路径（第二套图标,图标(UI/Item/Item)（第二套图标,道具类型(1通用装备2礼包3虚拟道具4材料5时装6纹章7龙玉8时装碎片9宝箱10补给品11钓鱼产出12基础装备模板13坐骑丹14坐骑饲料15门票16金属板17精灵食物18精灵19图鉴20种子21公会种子22食谱23料理26潘多拉遗物27古代人的仪式29 称号道具 30英雄体验券 31龙器 34背包扩充券 35祝福 36铭文 37 红包),道具品质(0-5 白绿蓝橙紫红),道具需求等级,道具出售价格,排序ID(大的在前),掉地上时的特效,获取途径(BQ),是否提示获得物品（基础提示，虚拟道具为0）,是否可以被交易,对应AuctionTypeList表里面的id,拍卖行价格组,超过该值显示特殊ui,价格浮动,上架上限【0 ：无限制 其他数为上限】,拍卖推荐价,近期成交价（N=LOW=HIGH）,最大堆叠数量（0：无限堆叠）,,时效性,分解,分解龙币,物品特效效果展示路径,roll点数量,使用的时候是否提示，将变为绑定（0：不提示  1：提示）,是否可以分解（0：不可以 1：可以）,出售(1=10),所属背包类型（对装备、龙器、纹章等有独立背包物品无效，类型从1开始）（参考gb表中的ItemBagType字段）
1,金币,大陆上的通用货币,0,Item/Item,1,,common/Universal,icon-1,3,2,0,,1,0|Effects/FX_Particle/Scene/Lzg_scene/gold_02|Effects/FX_Particle/Scene/Lzg_scene/gold_01|0.1,124=0|41=0,1,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,10000,,0,,1
2,技能点,学习或升级技能所需要的点数,0,Item/Item,5,,common/Universal,icon-11,3,3,0,,5,Common/Drop/Drop_bag,35=0,0,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
4,经验,升级需要的经验点,0,Item/Item,4,,common/Universal,icon-4,3,2,0,,4,Common/Drop/Drop_bag,,1,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
5,技能点,学习或升级技能所需要的点数,0,Item/Item,5,,common/Universal,icon-11,3,3,0,,5,Common/Drop/Drop_bag,35=0,1,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
6,体力,刷副本需要的体力点,0,Item/Item,6,,common/Universal,icon-3,3,2,0,,6,Common/Drop/Drop_bag,,0,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
7,龙币,珍贵的流通货币,0,Item/Item,28,,common/Universal,icon-28,3,2,0,,7,Effects/FX_Particle/Roles/Lzg_Ty/Ty_buff_zs,19=0,1,1,0,0,199,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
8,公会经验,公会升级所需要的经验,0,Item/Item,8,,common/Universal,,3,3,0,,8,Common/Drop/Drop_bag,112=0,0,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
9,钻石,顶级的流通货币,0,Item/Item,7,,common/Universal,icon-2,3,3,0,,7,Effects/FX_Particle/Roles/Lzg_Ty/Ty_buff_zs,,1,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
10,点数,成就点数,0,Item/Item,1,,common/Universal,,3,2,0,,10,Common/Drop/Drop_bag,,0,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
11,战队币,龙本战队战友之间感情的证明，可以通过战队总活跃度宝箱获得,0,Item/Item,10,,common/Universal,icon-15,3,3,0,,11,Common/Drop/Drop_bag,,1,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
12,军功,团队竞技比赛获胜的荣誉，可以提升军衔等级,0,Item/Item,21,,common/Universal,icon-12,3,2,0,,12,Common/Drop/Drop_bag,,1,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
13,小钢镚儿,珍贵的小钢镚儿,0,Item/Artifact,ss_a_4_2,,common/Universal,,3,3,0,,7,Effects/FX_Particle/Roles/Lzg_Ty/Ty_buff_zs,19=0,1,1,0,0,199,0.5=1.5,0,0,,0,点,,,,,0,,0,,1
21,荣誉点,可以在荣誉商店兑换时装等道具,0,Item/Item,21,,common/Universal,icon-12,3,2,0,,21,Common/Drop/Drop_bag,125=0|231=0,1,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
22,公会贡献,可以在公会商店购买道具或研习公会技能,0,Item/Item,22,,common/Universal,icon-10,3,2,0,,22,Common/Drop/Drop_bag,112=0|43=0,1,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
