SkillID,SkillName,SkillQuality,PassiveSkillType,Duration,CD,Tips,Atlas,Icon,Detail,Attrs,Buffs,BaseAttrs,NoticeDetail,ShowNotice,Audio
技能ID（主动为1000系列，被动为2000系列）,技能名称,技能品质(队长技能1~10级为1~10；被动技能C=1、B=2、A=3、S=4、L=5),被动技能加属性类型(1表示等级固定成长，2表示精灵属性百分比）,持续时间,冷却时间,技能描述,图标图集,图标,效果详情,技能提升属性,进场景增加Buffs,,提示文字效果,是否气泡提示和公告(1=1 等号前 队伍提示 等号后 气泡),技能音效
1201,连击能手,1,,5,30,连击数达成20的倍数时，概率触发「物攻提升」,GameSystem/Fairy,FairySkill_0_20,「物攻提升」物理攻击力提升10.0%,,501101=1,,获得物攻提升！,0=1,Audio/Pet/Pet_CastSkill
1201,连击能手,2,,5,30,连击数达成20的倍数时，概率触发「物攻提升」,GameSystem/Fairy,FairySkill_0_20,「物攻提升」物理攻击力提升11.0%,,501102=2,,获得物攻提升！,0=1,Audio/Pet/Pet_CastSkill
1201,连击能手,3,,5,30,连击数达成20的倍数时，概率触发「物攻提升」,GameSystem/Fairy,FairySkill_0_20,「物攻提升」物理攻击力提升12.0%,,501103=3,,获得物攻提升！,0=1,Audio/Pet/Pet_CastSkill
1201,连击能手,4,,5,30,连击数达成20的倍数时，概率触发「物攻提升」,GameSystem/Fairy,FairySkill_0_20,「物攻提升」物理攻击力提升12.5%,,501104=4,,获得物攻提升！,0=1,Audio/Pet/Pet_CastSkill
1201,连击能手,5,,5,30,连击数达成20的倍数时，概率触发「物攻提升」,GameSystem/Fairy,FairySkill_0_20,「物攻提升」物理攻击力提升13.0%,,501105=5,,获得物攻提升！,0=1,Audio/Pet/Pet_CastSkill
1201,连击能手,6,,5,30,连击数达成20的倍数时，概率触发「物攻提升」,GameSystem/Fairy,FairySkill_0_20,「物攻提升」物理攻击力提升13.5%,,501106=6,,获得物攻提升！,0=1,Audio/Pet/Pet_CastSkill
1201,连击能手,7,,5,30,连击数达成20的倍数时，概率触发「物攻提升」,GameSystem/Fairy,FairySkill_0_20,「物攻提升」物理攻击力提升14.0%,,501107=7,,获得物攻提升！,0=1,Audio/Pet/Pet_CastSkill
1201,连击能手,8,,5,30,连击数达成20的倍数时，概率触发「物攻提升」,GameSystem/Fairy,FairySkill_0_20,「物攻提升」物理攻击力提升14.5%,,501108=8,,获得物攻提升！,0=1,Audio/Pet/Pet_CastSkill
1201,连击能手,9,,5,30,连击数达成20的倍数时，概率触发「物攻提升」,GameSystem/Fairy,FairySkill_0_20,「物攻提升」物理攻击力提升15.0%,,501109=9,,获得物攻提升！,0=1,Audio/Pet/Pet_CastSkill
1201,连击能手,10,,5,30,连击数达成20的倍数时，概率触发「物攻提升」,GameSystem/Fairy,FairySkill_0_20,「物攻提升」物理攻击力提升15.0%,,501109=9,,获得物攻提升！,0=1,Audio/Pet/Pet_CastSkill
